pose,coordinate,q,muscle,axis,length,moment_arm,finite_difference,tendon_force,active_fiber_force,passive_fiber_force,cos_pennation,activation,fiber_velocity
0,neutral,0,gait2392_ercspn_r,lumbar_extension,0.14970804921579872,0.042689755383744331,0.042689755383462646,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_ercspn_r,lumbar_bending,0.14970804921579872,0.038088533180874892,0.038088533174662764,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_ercspn_r,lumbar_rotation,0.14970804921579872,0.0096913292745443719,0.0096913292807476736,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_intobl_r,lumbar_extension,0.19909603210511254,-0.052823754892551346,-0.052823754911890397,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_intobl_r,lumbar_bending,0.19909603210511254,0.093846671892162767,0.093846671808672788,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_intobl_r,lumbar_rotation,0.19909603210511254,-0.036105691931644528,-0.036105691936239026,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_extobl_r,lumbar_extension,0.27405930015235763,-0.062791155018031841,-0.062791155053254499,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
0,neutral,0,gait2392_extobl_r,lumbar_bending,0.27405930015235763,0.062252950330513493,0.062252950322472245,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
0,neutral,0,gait2392_extobl_r,lumbar_rotation,0.27405930015235763,0.026005320731819322,0.026005320730160264,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
0,neutral,0,gait2392_ercspn_l,lumbar_extension,0.14970804921579872,0.042689755383744331,0.042689755383462646,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_ercspn_l,lumbar_bending,0.14970804921579872,-0.038088533180874892,-0.038088533174662764,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_ercspn_l,lumbar_rotation,0.14970804921579872,-0.0096913292745443719,-0.0096913292807476736,124.99446085770126,124.99446085770126,0,1,0.050000000000000003,3.8148969908606745e-11
0,neutral,0,gait2392_intobl_l,lumbar_extension,0.19909603210511254,-0.052823754892551346,-0.052823754911890397,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_intobl_l,lumbar_bending,0.19909603210511254,-0.093846671892162767,-0.093846671808672788,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_intobl_l,lumbar_rotation,0.19909603210511254,0.036105691931644528,0.036105691936239026,44.970415128584541,44.970415128584541,0,1,0.050000000000000003,3.2609159272407103e-11
0,neutral,0,gait2392_extobl_l,lumbar_extension,0.27405930015235763,-0.062791155018031841,-0.062791155053254499,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
0,neutral,0,gait2392_extobl_l,lumbar_bending,0.27405930015235763,-0.062252950330513493,-0.062252950322472245,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
0,neutral,0,gait2392_extobl_l,lumbar_rotation,0.27405930015235763,-0.026005320731819322,-0.026005320730160264,60.982872440110519,44.023815371743979,16.95905706836654,1,0.050000000000000003,5.079325040309264e-12
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.15384681400751427,0.040052506637035322,0.040052506589116632,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.15384681400751427,0.037649061735098022,0.037649061770950176,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.15384681400751427,0.010049390777071272,0.010049390736233121,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.19381280619696192,-0.052751726297883099,-0.052751726251076825,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.19381280619696192,0.095931431247936669,0.095931431187690208,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_r,lumbar_rotation,0.19381280619696192,-0.037024526830545752,-0.037024526833295823,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
